event_id,blob_id,time_idx,date,type,n_cells,area_km2,centroid_lat,centroid_lon,min_lat,max_lat,min_lon,max_lon,mean_anomaly_mm,max_magnitude_mm,total_anomaly_mm
EVT-2020-009,B00041,1,2020-07-31,dry,18,12088.356922701365,29.862034416941746,83.75440079645023,29.25,30.25,83.25,84.75,-35.065792083740234,-45.538116455078125,-631.1842651367188
EVT-2020-044,B00048,1,2020-07-31,dry,16,11601.147099944154,20.62590620392988,82.19119725649291,20.0,21.25,81.5,83.0,-113.19742584228516,-134.81015014648438,-1811.1588134765625
EVT-2020-045,B00055,1,2020-07-31,dry,14,10446.80254891758,15.528825177463428,74.90543325023302,15.0,16.0,74.5,75.5,-70.39205932617188,-116.60067749023438,-985.4888305664062
EVT-2020-046,B00057,1,2020-07-31,dry,13,9851.27295219462,11.944038177247153,92.58052585717587,11.5,12.5,92.25,93.0,-74.12283325195312,-98.0787353515625,-963.5968017578125
EVT-2020-047,B00044,1,2020-07-31,dry,14,9697.7740802009,26.520797936051565,71.67254125916939,26.25,27.0,71.0,72.25,-101.90788269042969,-155.24276733398438,-1426.7103271484375
EVT-2020-048,B00053,1,2020-07-31,dry,11,8157.099598189721,16.792793634918926,81.82700431387462,16.5,17.0,81.5,82.25,-83.00997924804688,-102.19967651367188,-913.1097412109375
EVT-2020-008,B00034,1,2020-07-31,wet,10,7358.532073873189,18.17158335014061,74.73689114152647,17.5,18.75,74.25,75.5,51.324806213378906,73.38983154296875,513.248046875
EVT-2020-019,B00039,1,2020-07-31,dry,11,6984.606715032904,34.9229077473916,80.92923297390635,34.5,35.25,80.5,81.5,-18.92607307434082,-24.78791046142578,-208.18679809570312
EVT-2020-018,B00043,1,2020-07-31,dry,10,6796.78982409419,28.638971760526506,86.59096380346212,28.5,29.0,85.75,87.25,-30.799606323242188,-41.22941589355469,-307.9960632324219
EVT-2020-008,B00066,2,2020-08-31,wet,2177,1579971.0745229241,20.17075050985183,78.75104888611804,13.5,28.75,69.25,94.0,164.8863983154297,516.2275390625,358957.6875
EVT-2020-003,B00075,2,2020-08-31,dry,633,403226.50532266137,34.580353369921156,82.10738891518564,28.75,37.0,74.5,88.75,-25.478395462036133,-74.5081558227539,-16127.82421875
